url_length,number_of_special_characters,_has_ssl,number_of_name_servers,number_of_href_links,has_pop_up,has_input,has_password,domain_age,number_of_subdomains,has_favicon,NonStdPort,LinksInScriptTags,has_title,has_submit,has_button,has_link,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_images,number_of_option,number_of_list,number_of_TR,number_of_TH,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,number_link,has_abnormalURL,has_dns_recording,GoogleIndex,double_slash_redirecting,domain_registration_length,statistical_report,submitting_to_email,https_token,count_redirects,has_executable_files,count_javascript_files,number_of_emails,get_ssl_update_age,get_ip_count,get_ssl_expiry_duration,number_of_smtp_servers,number_of_txt_records,shortening_service,url,Label
27,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,1,2,-1,1,37,-1,-1,0,http://bestsacramentoappraiser.com,1
12,0,1,2,31,0,1,0,21,1,1,1,1,1,0,1,1,0,0,0,0,5,0,0,34,0,0,24,10,24,1,1,1,10320,0,31,105,0,1,1,1,0,1,4,1,0,0,0,11,0,14,0,-1,1,1,1,1,1,1,0,0,9,19,79,1,1008,5,-1,0,http://alhadbaa.com,1
16,0,0,0,19,1,0,0,8,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,15,0,0,2,6,39,1,0,0,469,0,19,9,0,0,0,0,1,0,7,0,0,0,0,1,0,5,0,1,1,1,0,1,1,1,0,0,3,17,-1,1,13,-1,-1,0,http://ppforexindia.com,1
13,0,1,2,19,0,0,0,10,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,10,3,0,6,11,15,1,0,0,2543,0,19,65,0,1,0,0,0,0,10,1,0,0,0,24,1,2,0,-1,1,1,1,1,1,1,1,0,1,17,449,1,645,2,-1,0,http://alhamraaz.com,1
14,0,1,2,17,0,0,0,6,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,26,1,1,1,2467,0,17,20,0,1,0,0,0,0,3,1,0,0,0,1,0,5,0,-1,1,1,0,1,1,1,1,0,0,2,-1,1,178,1,1,0,http://alhanifdev.com,1
11,0,1,4,74,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,8,0,0,36,0,0,0,20,25,1,1,0,2521,0,74,125,0,1,1,0,0,1,14,1,0,1,1,54,0,11,0,-1,1,1,-1,1,1,1,0,0,6,-1,-1,1,-1,-1,-1,0,http://alhaya.news,1
19,0,1,2,71,0,1,0,23,-1,1,1,0,1,0,1,1,0,1,0,0,4,0,0,29,0,0,3,18,13,0,1,1,3313,0,71,161,0,1,1,0,0,1,8,1,0,0,0,10,0,24,0,-1,1,1,1,1,1,1,1,0,12,-1,246,1,1508,-1,-1,0,http://ppid.boyolali.go.id,1
24,0,1,0,70,1,1,0,16,-1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,28,0,0,15,27,39,0,1,0,4075,1,70,154,0,1,1,0,0,1,12,1,0,0,0,51,0,18,0,-1,1,1,0,1,1,1,1,0,15,-1,273,1,47,-1,-1,0,http://ppid.pandeglangkab.go.id,1
20,0,0,0,7,0,0,0,9,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,5,43,1,0,0,270,0,7,17,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,-1,1,1,0,1,1,1,0,0,2,-1,213,1,25,-1,-1,0,http://bestsailcharters.com,1
14,1,1,2,55,0,1,0,1,1,1,1,-1,1,0,1,1,0,0,0,0,1,0,0,8,0,0,21,8,71,1,1,0,3020,1,55,106,0,1,1,0,0,0,19,1,0,0,0,49,0,0,0,-1,1,1,0,1,1,1,1,0,0,30,342,2,35,-1,-1,0,http://alia-hotel.com,1
19,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,1,17,165,1,97,1,1,1,http://bestschoolagent.com,1
15,0,1,2,185,0,1,0,14,1,1,1,-1,1,0,1,1,0,1,0,1,2,0,0,189,0,0,7,38,36,1,1,1,20332,0,185,297,0,1,1,0,1,0,16,1,0,0,2,126,0,32,0,-1,1,1,0,1,1,1,1,0,4,-1,-1,1,179,-1,2,0,http://aliagasonido.cl,1
20,0,0,2,1,0,0,0,11,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,1,0,0,149,0,1,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,17,-1,1,274,1,1,0,http://bestseodirectory.net,1
13,0,1,2,26,0,0,0,9,0,1,1,-1,1,0,0,1,0,0,0,0,0,0,0,15,0,0,14,25,22,0,0,1,2127,0,26,63,0,1,0,0,0,0,3,0,0,0,0,15,0,7,0,-1,1,1,0,1,1,1,0,0,0,-1,210,1,111,1,1,0,http://bestsun.co.id,1
11,0,1,2,19,0,1,0,4,1,1,1,1,1,0,1,1,0,0,0,0,7,0,0,10,0,0,5,12,8,0,0,1,2257,1,19,111,0,1,0,0,0,1,4,1,0,0,0,21,0,40,0,-1,1,1,1,1,1,1,1,0,10,17,57,1,1121,1,1,0,http://acetory.com,1
14,0,1,2,84,0,1,0,0,0,1,1,-1,1,1,0,1,1,1,1,0,18,0,0,38,0,0,66,50,40,0,1,1,6061,0,84,546,14,1,1,1,1,1,9,1,0,0,0,20,0,52,0,-1,1,1,-1,1,1,1,1,0,0,-1,-1,1,-1,3,2,0,http://alianza.com.tn,1
21,0,1,2,20,0,0,0,0,0,1,1,-1,1,0,0,1,0,0,0,1,0,0,0,15,0,0,19,36,58,1,1,1,2935,0,20,188,0,0,0,0,0,0,16,1,0,0,0,24,0,8,0,-1,1,1,-1,1,1,1,1,0,0,-1,-1,1,-1,1,1,0,http://bestvenuemedia.com.my,1
16,0,1,2,40,0,1,0,15,1,1,1,-1,1,0,0,1,0,0,0,0,1,0,0,13,0,0,9,15,73,1,0,1,2498,0,40,90,0,1,1,0,0,0,8,1,0,0,0,19,0,16,0,-1,1,1,0,1,1,1,1,0,0,2,-1,1,135,-1,2,0,http://acfarmbureau.com,1
22,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,0,17,127,1,193,-1,-1,0,http://alianzabolivariana.org,1
12,0,1,0,41,0,1,0,0,0,1,1,-1,1,0,1,1,0,0,0,0,1,0,0,30,0,0,10,23,36,1,1,1,2250,0,41,298,0,0,1,0,1,1,8,0,0,0,0,48,0,19,0,-1,1,1,-1,1,1,1,1,0,0,-1,-1,1,-1,1,3,0,http://acgas.com.my,1
12,1,1,0,40,0,0,0,5,1,1,1,-1,1,0,1,1,0,0,0,1,0,0,0,18,0,0,6,23,56,1,0,0,6423,1,40,1022,0,1,0,0,0,0,16,1,0,1,6,24,0,81,0,1,1,1,1,1,1,1,1,0,0,14,485,1,648,1,1,0,http://bestvu4u.com,1
26,1,1,0,1,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,185,0,1,6,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,-1,1,1,1,1,1,1,0,0,0,2,295,1,1536,-1,-1,0,http://alicia-web.webcindario.com,1
12,1,0,2,215,0,1,0,5,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,63,0,0,41,20,58,1,1,1,7099,0,215,310,0,1,1,0,1,1,20,1,0,1,44,419,0,49,0,-1,1,1,0,1,1,1,1,0,5,2,327,1,82,5,1,0,http://bet-rate.com,1
13,0,1,2,60,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,8,0,0,30,0,0,20,4,33,0,1,1,6788,0,60,471,0,1,1,1,0,1,5,1,0,0,0,93,0,14,0,-1,1,1,0,1,1,1,0,0,2,23,-1,1,-1,1,1,0,http://alicorn.co.ke,1
10,0,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,2,19,-1,1,192,-1,-1,1,http://acgxxx.com,1
16,0,1,2,107,0,1,0,7,1,1,1,0,1,0,1,1,0,0,0,0,2,0,0,75,0,0,21,18,69,0,1,1,5092,0,107,529,0,1,1,0,0,0,21,1,0,0,0,76,0,24,0,-1,1,1,0,1,1,1,1,0,0,30,223,1,136,1,2,0,http://alifsolutions.in,1
20,0,1,3,33,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,24,0,0,4,0,39,1,0,0,1286,1,33,29,0,1,0,0,0,0,3,1,0,0,0,20,0,7,0,-1,1,1,-1,1,1,1,0,0,0,-1,316,1,-1,1,1,0,http://alignedpeople.com.au,1
12,0,0,0,2,0,0,0,13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,17,1,0,0,299,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,0,2,106,1,268,-1,-1,0,http://pplon.ipq.co,1
32,1,0,2,59,0,1,0,16,0,1,1,1,1,0,1,1,0,0,0,0,2,0,0,48,0,0,6,27,29,1,0,1,3609,1,59,86,0,1,1,0,0,1,3,0,0,0,0,6,0,4,0,-1,1,1,0,1,1,1,1,0,22,-1,10,1,354,-1,1,0,http://pplresolvelimitation-page.com.nu,1
8,0,1,2,106,0,1,0,11,1,1,1,0,1,1,1,1,0,0,0,0,4,0,0,72,0,0,22,31,39,1,1,1,5217,0,106,238,0,1,1,0,1,0,26,1,0,0,0,44,0,50,0,-1,1,1,0,1,1,1,1,0,1,-1,-1,1,301,-1,2,0,http://achac.cl,1
18,1,1,2,17,0,1,0,8,1,1,1,1,0,0,1,1,0,0,0,0,2,0,0,4,0,0,14,15,0,1,1,0,3966,0,17,52,0,1,0,0,0,0,6,1,0,0,0,8,0,4,0,1,1,1,1,1,1,1,1,0,0,17,-1,1,394,1,2,0,http://alimentslucky8.com,1
15,0,0,2,4,0,0,0,17,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,52,1,1,0,2155,0,4,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,-1,1,1,0,1,1,1,0,0,0,17,27,1,338,2,-1,0,http://alinesoccer.com,1
25,0,1,0,1,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,185,0,1,6,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,-1,1,1,1,1,1,1,0,0,0,2,295,1,1536,-1,-1,0,http://ppmontana.webcindario.com,1
12,5,0,2,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,52,0,0,0,64,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,2,-1,217,1,148,-1,-1,0,http://bet58088.com,1
15,0,0,2,30,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,2,0,0,14,0,0,18,9,44,1,1,1,3126,1,30,106,0,0,1,0,0,0,0,1,0,0,0,10,0,9,0,-1,1,1,-1,1,1,1,0,0,9,-1,-1,1,-1,1,1,0,http://alirezaamoon.ir,1
15,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,45,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,0,0,0,-1,-1,1,-1,1,1,0,http://ppparagon.co.th,1
19,0,0,2,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,85,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,6,-1,-1,1,1372,-1,-1,0,http://achetudoaqui.com.br,1
10,0,1,3,36,0,1,0,0,0,1,1,-1,1,1,0,1,0,0,0,0,2,0,0,13,0,0,2,12,87,1,1,1,3230,0,36,20,2,1,1,0,0,0,5,1,0,0,0,31,0,2,0,-1,1,1,-1,1,1,1,0,0,0,-1,-1,1,-1,1,1,0,http://pps.org.pk,1
15,0,1,0,2,0,1,1,27,0,1,1,0,1,0,1,1,0,1,0,0,6,0,0,1,0,0,3,25,36,0,1,0,201,0,2,13,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,17,-1,1,325,-1,-1,0,http://beta.pradco.com,1
21,0,1,0,42,0,1,0,3,0,1,1,-1,1,0,1,1,0,0,0,0,1,0,0,25,0,0,8,2,40,0,0,0,3018,1,42,70,0,1,1,0,1,0,36,1,0,0,0,5,0,12,0,-1,1,1,0,1,1,1,0,0,1,-1,14,1,307,1,1,0,http://alirsyadbws.ponpes.id,1
14,0,0,2,1,0,0,0,16,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,1,0,0,166,0,1,4,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,-1,1,1,1,1,1,1,0,0,0,17,313,1,416,2,-1,0,http://pptpalooza.net,1
9,0,0,2,3,0,0,0,9,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,37,0,0,0,5185,0,3,16,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,-1,1,1,0,1,1,1,0,0,0,17,254,1,65,2,-1,0,http://acho.info,1
59,12,0,0,0,0,0,0,6,-1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,104,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,1,16,300,1,63,-1,-1,0,http://betaalproduct-aanvraag.zap419865-1.plesk06.zap-webspace.com,1
11,0,0,2,33,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,18,0,0,3,15,38,0,1,0,930,0,33,112,9,0,0,0,0,0,12,0,0,1,0,59,0,10,0,-1,1,1,-1,1,1,1,1,0,7,-1,-1,1,-1,1,1,0,http://acia.net.au,1
28,1,1,0,0,0,0,0,17,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1,1,1,1,1,1,1,1,0,0,2,220,2,541,-1,1,0,http://alisantyloar5sfdd.tumblr.com,1
10,2,0,0,15,0,0,0,5,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,38,0,0,2,9,72,0,1,0,2193,0,15,72,0,0,0,0,1,0,3,0,1,0,0,23,0,20,0,-1,1,1,0,1,1,1,0,0,4,30,142,1,243,-1,-1,0,http://ppxy23.top,1
13,0,1,0,1,0,1,1,18,0,1,1,0,1,1,0,1,0,1,0,0,8,0,0,0,0,0,2,4,30,1,1,0,262,0,1,13,0,1,1,0,0,1,9,0,0,1,0,3,0,1,0,-1,1,1,0,1,1,1,0,0,0,-1,12,1,233,1,1,0,http://acitech.co.za,1
19,0,1,2,70,0,1,0,12,1,1,1,1,1,0,1,1,0,1,0,0,3,0,0,52,0,0,16,9,16,0,0,1,2705,0,70,84,0,1,1,0,0,1,5,1,0,0,0,17,0,21,0,-1,1,1,0,1,1,1,1,0,4,2,-1,1,64,2,1,0,http://alisverisekosun.com,1
21,0,1,2,7,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,19,48,39,1,0,0,1510,0,7,142,0,1,0,0,1,0,29,1,0,0,0,22,0,2,0,-1,1,1,-1,1,1,1,1,0,9,-1,-1,3,-1,5,1,0,http://aclasscladding.com.au,1
16,0,1,0,23,1,1,1,26,0,0,1,1,1,0,1,1,1,1,0,0,4,0,0,15,0,0,14,18,42,0,1,1,2626,1,23,45,0,1,1,0,0,0,4,1,0,0,0,40,0,2,0,-1,1,1,1,1,1,1,1,0,14,-1,-1,1,2851,-1,-1,0,http://pr.sernapesca.cl,1
7,0,1,2,106,1,1,1,16,1,1,1,1,1,0,1,1,1,1,0,0,6,0,769,71,0,0,18,29,66,0,1,0,57172,1,106,201,0,1,1,0,1,1,3,1,0,0,0,33,0,42,0,-1,1,1,0,1,1,1,1,0,25,-1,145,1,233,5,2,0,http://acma.in,1
16,0,1,3,0,0,0,0,7,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,116,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,2,17,448,1,903,5,1,0,http://praavahealth.com,1
13,0,1,2,13,0,0,0,11,1,1,1,-1,1,0,0,1,0,0,0,0,0,0,0,11,0,0,5,27,57,0,1,1,1330,0,13,102,4,1,0,0,0,0,13,1,0,0,0,6,0,8,0,-1,1,1,0,1,1,1,1,0,1,2,-1,1,215,1,1,0,http://alivefoto.com,1
11,0,1,0,130,0,1,0,19,0,1,1,-1,1,0,1,1,0,0,0,0,10,0,0,107,0,0,49,18,29,1,1,1,6867,1,130,168,0,1,1,0,0,1,6,1,0,0,0,235,0,4,0,-1,1,1,1,1,1,1,1,0,0,-1,-1,1,727,-1,1,0,http://acmd.org.tr,1
21,0,1,2,390,0,1,0,4,1,1,1,-1,1,1,1,1,1,1,0,0,16,0,0,359,0,0,20,20,77,0,0,1,10541,0,390,524,4,1,1,1,1,1,17,1,0,1,0,114,0,73,0,-1,1,1,0,1,1,1,1,0,1,-1,303,1,38,1,1,0,http://acmeentranceexpert.in,1
14,0,1,2,3,0,0,0,0,0,1,1,-1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,43,38,1,0,0,358,0,3,8,0,0,0,0,0,0,17,0,0,0,0,3,0,0,0,-1,1,1,-1,1,1,1,1,0,4,-1,-1,1,-1,5,1,0,http://aljasim.com.pk,1
16,1,1,2,0,0,0,0,21,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,0,-1,218,2,16,3,2,0,http://practica-ltd.com,1
12,0,1,4,51,0,1,0,23,0,1,1,-1,1,1,1,1,1,1,0,0,13,0,0,22,0,0,78,24,56,1,1,1,11711,1,51,171,0,0,1,1,1,1,21,1,0,0,0,63,0,9,0,-1,1,1,0,1,1,1,1,0,6,-1,202,1,163,4,-1,1,http://alkait.co.uk,1
12,0,1,2,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,1,17,83,1,243,1,1,0,http://praction.net,1
11,0,1,0,25,0,0,0,12,1,1,1,-1,1,0,1,1,0,0,0,0,0,0,0,15,0,0,17,23,18,0,1,1,3541,1,25,178,0,1,0,0,0,0,18,1,0,0,0,4,0,42,0,-1,1,1,0,1,1,1,1,0,18,13,181,1,267,-1,2,0,http://betabtp.com,1
16,0,1,2,100,1,1,0,25,1,1,1,0,1,1,1,1,0,1,0,0,8,0,441,127,5,0,39,21,93,0,1,1,12894,1,100,167,0,1,1,0,1,1,5,1,0,0,0,14,2,25,0,-1,1,1,0,1,1,1,0,0,11,17,101,2,284,2,2,0,http://alkalimetals.com,1
20,0,0,2,224,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,11,111,9,11,30,3,18,1,1,1,15691,1,224,811,0,1,1,0,0,0,8,1,0,0,0,46,13,94,0,-1,1,1,0,1,1,1,0,0,1,19,-1,1,131,-1,-1,0,http://acmeofficesupply.com,1
15,0,1,2,55,0,1,0,7,1,1,1,-1,1,1,0,1,0,0,0,0,2,0,0,31,7,0,33,29,12,1,1,0,3230,0,55,348,6,1,1,0,0,1,4,1,0,0,0,26,7,27,0,-1,1,1,0,1,1,1,1,0,0,4,-1,1,64,1,1,1,http://betaraypest.com,1
13,0,1,4,20,0,0,0,19,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,30,0,0,4,11,10,0,1,1,4894,1,20,102,0,0,0,0,0,0,11,1,0,0,0,9,0,24,0,-1,1,1,0,1,1,1,1,0,6,2,-1,1,183,-1,-1,0,http://alkapande.com,1
20,0,1,4,2,0,0,0,6,0,0,1,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,36,1,0,0,225,0,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,1,1,0,1,1,1,0,0,0,-1,112,1,252,1,1,0,http://acmindustrial.com.mx,1
23,0,1,2,49,0,1,0,8,1,1,1,-1,1,0,1,1,0,1,0,1,6,0,0,25,0,0,54,44,21,0,0,1,8611,0,49,249,0,0,1,0,0,1,7,1,0,0,1,5,0,16,0,-1,1,1,0,1,1,1,0,0,32,2,-1,1,282,1,2,1,http://alkaramahypermarket.com,1
16,0,1,4,1,0,0,0,7,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,226,0,1,5,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,-1,1,1,0,1,1,1,1,0,0,2,-1,1,307,1,-1,0,http://bethbireeltd.com,1
19,0,0,4,2,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,19,1,0,0,248,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,-1,1,1,-1,1,1,1,0,0,0,-1,-1,1,-1,-1,-1,0,http://alkatreszkereses.hu,1
13,0,1,3,83,0,0,0,16,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,17,0,0,13,12,16,1,1,1,5898,0,83,222,0,1,0,0,1,0,4,1,0,0,0,2,0,51,0,-1,1,1,0,1,1,1,1,0,4,25,124,1,271,-1,2,0,http://practisis.net,1
17,0,1,0,6,0,0,0,5,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,5,0,0,3,9,18,0,0,0,786,0,6,29,0,1,0,0,0,0,7,1,0,0,0,4,0,2,0,-1,1,1,0,1,1,1,1,0,0,-1,35,1,134,1,3,0,http://acornrecycling.uk,1
13,0,1,0,107,0,1,0,0,0,1,1,-1,1,1,1,1,1,1,0,0,12,0,0,60,0,0,61,106,24,1,1,1,11624,1,107,719,11,1,1,1,0,1,9,0,0,0,0,37,0,46,0,-1,1,1,-1,1,1,1,1,0,2,-1,-1,1,-1,6,1,0,http://bethel.org.sg,1
